Subject,Category,Topic
physics,Elektriciteit en magnetisme,Elektrische stroom en schakelingen
physics,Elektriciteit en magnetisme,Elektrisch veld en magnetisch veld
physics,Elektriciteit en magnetisme,Inductie en wisselstromen
physics,Elektriciteit en magnetisme,Signaalverwerking
physics,Golven en straling,Elektromagnetisch spectrum
physics,Golven en straling,Geluid
physics,Golven en straling,Ioniserende straling en radioactiviteit
physics,Golven en straling,Licht
physics,Golven en straling,Trilling en golf
physics,Keuzeonderwerpen (SE),Aarde en Klimaat (havo)
physics,Keuzeonderwerpen (SE),Biofysica (vwo)
physics,Keuzeonderwerpen (SE),Geofysica (vwo)
physics,Keuzeonderwerpen (SE),Kern- en Deeltjesprocessen (vwo)
physics,Keuzeonderwerpen (SE),Menselijk lichaam (havo)
physics,Keuzeonderwerpen (SE),Optica (licht en lenzen) (havo)
physics,Keuzeonderwerpen (SE),Relativiteitstheorie (vwo)
physics,Mechanica,Arbeid en energie
physics,Mechanica,Kracht en beweging
physics,Mechanica,Kracht in evenwichtssituaties
physics,Mechanica,Rechtlijnige beweging
physics,Moderne fysica,Atoomfysica
physics,Moderne fysica,Kernfysica
physics,Moderne fysica,Nanotechnologie
physics,Moderne fysica,Quantumwereld
physics,Sterrenkunde,Astrofysica
physics,Sterrenkunde,Sterrenkunde
physics,Stoffen en materialen,Gas en vloeistof
physics,Stoffen en materialen,Materiaalonderzoek
physics,Stoffen en materialen,Thermische processen
physics,Vaardigheden,Gebruik van computer bij physics
physics,Vaardigheden,Leerstrategieën
physics,Vaardigheden,Modelleren
physics,Vaardigheden,Onderzoek doen
physics,Vaardigheden,Ontwerpen
physics,Vaardigheden,Rekenvaardigheden
physics,Verdieping en verbreding,Aerodynamica
physics,Verdieping en verbreding,Beeld en geluid
physics,Verdieping en verbreding,(Duurzame) energie
physics,Verdieping en verbreding,Elektronica
physics,Verdieping en verbreding,Maatschappij
physics,Verdieping en verbreding,Overige onderwerpen
physics,Verdieping en verbreding,Weerkunde en oceanografie
physics,Verdieping en verbreding,Werking van apparaten
physics,Verdieping en verbreding,Werktuigbouw
sustainability,Energietransitie,Energietransitie
sustainability,Energietransitie,Duurzame energie
sustainability,Energietransitie,Enegieopwek en -opslag
sustainability,Mobiliteitstransitie,Mobiliteit uitdagingen
sustainability,Mobiliteitstransitie,Mobiliteit oplossingen
sustainability,Landbouw- en eiwittransitie,Landbouw
sustainability,Landbouw- en eiwittransitie,Eiwittransitie
sustainability,Landbouw- en eiwittransitie,Voedsel voorziening
sustainability,Circulariteit,Circulariteit
sustainability,Klimaatverandering,Klimaatverandering
sustainability,Duurzame economie,Duurzame economie
maths,Algebra,Rekenen met getallen
maths,Algebra,Rekenen met letters
maths,Algebra,Vergelijkigen
maths,Algebra,Ongelijkheden
maths,Functies,Lineaire en kwadratische functies
maths,Functies,Exponentiele en logaritmische functies
maths,Functies,Gebroken functies
maths,Goniometrie,Goniometrische functies
maths,Calculus,Differentiëren
maths,Calculus,Integreren
maths,Vectoren en Matrices,Vectoren en Matrices
maths,Kansrekenen en statistiek,Combinatoriek
maths,Kansrekenen en statistiek,Statistiek
maths,Kansrekenen en statistiek,Kansrekenen
maths,Kansrekenen en statistiek,Statistiek: steekproeven
maths,Kansrekenen en statistiek,Hypothese toetsen
physics,Engineering,Thermodynamica
physics,Engineering,Statica
physics,Engineering,Dynamica
physics,Engineering,Trillingen en golven
physics,Engineering,Sterkteleer
physics,Engineering,Optica
